"DAILY SALES SWEETTOOTH -DECEMBER, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,DAYS,CASH,STANBIC IBTC,GTB,HERITAGE,ZENITH,ACCESS,TITAN TRUST,JAIZ,KEYSTONE,UBA,WEMA ,STATESIDE,POS TOTAL,TRSF - ZIB,TRSF- ACB,TRSF-KEYSTONE,TRSF-GTB,TOTAL - TRSF,ACTUAL SALES,PORTAL,VARIANCE,SALES(%),DEPOSITS,UTILIZATION,CAUSE OF VARIANCE
01/12/2025,MONDAY,,,,,,,,,509600,184000,,,693600,,,,403400,403400,1097000,1097000,0,68.5625,,,
02/12/2025,TUESDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
03/12/2025,WEDNESDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
04/12/2025,THURSDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
05/12/2025,FRIDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
06/12/2025,SATURDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
07/12/2025,SUNDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
08/12/2025,MONDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
09/12/2025,TUESDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
10/12/2025,WEDNESDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
11/12/2025,THURSDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
12/12/2025,FRIDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
13/12/2025,SATURDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
14/12/2025,SUNDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
15/12/2025,MONDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
16/12/2025,TUESDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
17/12/2025,WEDNESDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
18/12/2025,THURSDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
19/12/2025,FRIDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
20/12/2025,SATURDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
21/12/2025,SUNDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
22/12/2025,MONDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
23/12/2025,TUESDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
24/12/2025,WEDNESDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
25/12/2025,THURSDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
26/12/2025,FRIDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
27/12/2025,SATURDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
28/12/2025,SUNDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
29/12/2025,MONDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
30/12/2025,TUESDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
31/12/2025,WEDNESDAY,,,,,,,,,,,,,0,,,,,0,0,,0,0,,,
,,0,0,0,0,0,0,0,0,509600,184000,0,0,693600,0,0,0,403400,403400,1097000,1097000,0,68.5625,0,0,0
