Product,Location,Measurement,Current stock
CAN COKE,STORE,PCS,30
CAN FANTA,STORE,PCS,15
CAN SCHWEPPES,STORE,PCS,30
CAN SPRITE,STORE,PCS,6
GRANULATED SUGAR,STORE,GRAM,
10 INCHES CAKE BOARD,STORE,PCS,20
10 INCHES CAKE PAN,STORE,PCS,
12 INCHES CAKE BOARD,STORE,PCS,
8 INCHES CAKE BOX LOW(UNBRD),STORE,PCS,
12 INCHES CAKE BOX,STORE,PCS,
14 INCHES CAKE BOARD,STORE,PCS,
14 INCHES CAKE BOX,STORE,PCS,
16 INCHES CAKE BOARD,STORE,PCS,
2 DOORS DEEP FREEZER,STORE,PCS,1
20 INCHES CAKE BOARD,STORE,PCS,
22 INCHES CAKE BOARD,STORE,PCS,
24 INCHES CAKE BOARD,STORE,PCS,
3DOORS DEEP FREEZER,STORE,PCS,1
4 DOORS REFRIGERATOR,STORE,PCS,
4TH STREET RED WINE,STORE,PCS,
8 INCHES CAKE BOARD,STORE,PCS,3
A-4 PAPER,STORE,PK,1
ACRYLIC STAND,STORE,PCS,
AIR FRESHNER,STORE,BTLS,5
ALMOND FLOUR,STORE,GRAM,3174
ALUMINIUM NON STICK MILK POT,STORE,PCS,
AMARENA BLACKCHERRY,STORE,GRAM,21000
AMARENA BLACKCHERRY TOPPING (N01),STORE,GRAM,40000
AMARENA SUPER FRUTTA BLACKCHERRY (E90),STORE,GRAM,
AMARENA TOPPING (I09),STORE,GRAM,26000
ANANAS 500 CP,STORE,GRAM,
APPLE FRUIT,STORE,GRAM,
APPLE POWDER (L25),STORE,GRAM,36000
ARACHIDI PEANUT,STORE,GRAM,
AVOCADO PEAR,STORE,PCS,
BACON,STORE,GRAM,
BAGUETTE TRAY,STORE,PCS,
BAILEYS,STORE,GRAM,
BAKED BEANS,STORE,GRAM,4980
BAKED BEANS IN TOMATO SAUCE,STORE,GRAM,
GREASE PROOF (PARCHMENT PAPER),STORE,PKS,
BAKING POWDER,STORE,GRAM,1362
BAKING SODA,STORE,GRAM,1500
BAMBOO LANTERN,STORE,PCS,
BAMBOO SKEWER (100PCS),STORE,PKS,4
BAMBOO SKEWER (BBQ STCK),STORE,PKS,
BANANA BREAD NYLON,STORE,PKS,
BANANA BREAD PACK,STORE,PKS,
BANANA FRUIT,STORE,GRAM,
BARBECUE SAUCE,STORE,GRAM,820
BARCADI WHITE RUM,STORE,GRAM,3750
BARRISTA CARAMEL,STORE,GRAM,
BASE ALBA,STORE,GRAM,
BASE PAN,STORE,GRAM,
BASIL LEAF,STORE,GRAM,
BEEF FILLET,STORE,GRAM,
BELL PEPPER,STORE,GRAM,
BENTO BOX,STORE,PCS,
BIG ICE CREAM CUP,STORE,PCS,
BIG TORTILLA BREAD,STORE,PCS,
CONSTANT COMMENT TEA,STORE,PCS,
EARL GREY TEA,STORE,PCS,
GINGER PEACH TUMERIC TEA,STORE,PCS,
GREEN AND GINGER TEA,STORE,PCS,
CLASSIC GREEN TEA,STORE,PCS,
GREEN TEA DECAFFEINATED TEA,STORE,PCS,
I LOVE LEMON TEA,STORE,PCS,
LAVENDAR CHAMOMILE TEA,STORE,PCS,
LEMON AND GINGER TEA,STORE,PCS,
BIN BAG,STORE,PCS,160
BIRTHDAY TOPPER,STORE,PCS,
BISCOFF SPREAD,STORE,PCS,
BISCOTTO BISCUIT (E49),STORE,PCS,18000
BLACK PEPPER POWDER,STORE,PCS,
BLACK SEED PEPPER,STORE,PCS,
BLACK STONELESS OLIVE OIL,STORE,PCS,
BLUE BERRY,STORE,PCS,
BLUE CHERRY JAM,STORE,PCS,
BLUE CREAM (E13),STORE,PCS,
BLUE CURACOA,STORE,PCS,
BLUE PEARL TOPPING,STORE,PCS,
STRAWBERRY JAM,STORE,PCS,
BOT PACK,STORE,PCS,
BRANDED PAPER BAG,STORE,PCS,
BRANDED POP CORN PACK,STORE,PCS,
BRANDED SERVIETTE,STORE,PCS,24768
BRANDED SERVING TRAY,STORE,PCS,
BRANDED SUGAR (BROWN),STORE,GRAM,
BRANDED SUGAR (WHITE),STORE,GRAM,
BRANDED TAKEOUT BAG BIG,STORE,GRAM,
BRANDED TAKEOUT PLASTIC CUP,STORE,PK,
BREAD IMPROVER,STORE,GRAM,
BREAKABLE LONG BOWL,STORE,PCS,
BROCCOLI,STORE,GRAM,
BROWN SUGAR,STORE,GRAM,3000
BUBBLE GUM (E67),STORE,GRAM,21000
BUBBLE GUM PASTA (i52),STORE,GRAM,
BUBBLE GUM SAUCE,STORE,GRAM,
BURGER BOX,STORE,GRAM,
BURGER SLICES,STORE,GRAM,
CABBAGE,STORE,GRAM,
CAJUN SPICE SEASONING,STORE,GRAM,
CAKE CANDLE,STORE,PCS,
CAKE PAPER CUP,STORE,PCS,
CAKE CUPS BY 6,STORE,PCS,
CAKE DUMMY  SET,STORE,PCS,
CAKE PACK,STORE,PCS,3000
CAKE WRAP,STORE,PCS,
CALYPSO,STORE,GRAM,
CAN MALT,STORE,PCS,
CAN SCHWEEPES TONIC,STORE,PCS,
CAPUCCINO CUP,STORE,PCS,
CARAMEL CREAM,STORE,GRAM,
CARAMEL SAUCE,STORE,GRAM,
CARAMEL SPREAD,STORE,GRAM,
CARAMEL FLAVOUR SYRUP,STORE,GRAM,
CARNIVAL POP CANDY,STORE,GRAM,
CARROT,STORE,GRAM,
CAULIFLOWER,STORE,GRAM,
CELERY,STORE,GRAM,
PEACH PASSION TEA,STORE,PCS,
MORNING THUNDER TEA,STORE,PCS,
PEPPERMINT TEA,STORE,PCS,
CELOTAPE,STORE,PCS,5
CERAMIC DIPPING SAUCE BOWL,STORE,PCS,
CERAMIC FACE-LIKE CUP,STORE,PCS,
CERAMIC KETCHUP DIP CUP,STORE,PCS,
CERAMIC TEA POT FOR ORGANIC BREW,STORE,PCS,
CHAPMAN JAR,STORE,PCS,
CHECKERS CUSTARD,STORE,GRAM,
CHEESE CAKE BASE,STORE,PCS,
HAND GLOVE( RUBBER),STORE,PCS,3600
CHIA SEED,STORE,GRAM,
CHICKEN FILLET,STORE,GRAM,
CHICKEN LAP,STORE,GRAM,
CHICKEN WING,STORE,GRAM,
CHILLY SPICE,STORE,GRAM,
CHIPS FRYING BASKET,STORE,PCS,
CHLOE WAFER ROLLS,STORE,PCS,
CHOCO - BISCUIT (I52),STORE,GRAM,
CHOCO BISCUIT GRAINS (W02),STORE,GRAM,
CHOCOBISCOTTO (PASTA E74),STORE,GRAM,18000
CHOCO-COCONUT PASTA (E75),STORE,GRAM,12000
DARK CHOCOLATE BLOCK,STORE,GRAM,
WHITE CHOCOLATE BLOCK,STORE,GRAM,
CHOCOLATE MELTING MACHINE,STORE,PCS,2
CHOCOLATE SOFTGEL (F18),STORE,GRAM,20000
